knee_X	knee_Y	knee_Z
	51.825534	-0.734384	-20.401389
	48.740029	-1.096092	-20.402929
	45.532091	-1.365803	-20.466593
	42.227578	-1.545551	-20.601023
	38.857029	-1.644304	-20.818084
	35.454234	-1.677356	-21.131218
	32.055007	-1.665704	-21.551633
	28.696403	-1.634659	-22.085272
	25.416152	-1.610675	-22.730818
	22.251886	-1.617109	-23.478449
	19.239877	-1.670768	-24.308608
	16.413739	-1.779948	-25.190257
	13.803718	-1.943592	-26.080959
	11.436457	-2.151475	-26.930757
	9.334519	-2.385629	-27.688674
	7.515471	-2.623190	-28.309793
	5.991504	-2.840249	-28.761526
	4.769946	-3.015504	-29.027925
	3.853888	-3.132952	-29.109919
	3.242451	-3.183622	-29.021199
	2.930528	-3.166185	-28.782970
	2.908543	-3.085989	-28.419728
	3.163186	-2.953081	-27.956377
	3.678502	-2.780344	-27.417053
	4.436265	-2.581681	-26.824718
	5.416249	-2.369753	-26.200375
	6.597076	-2.154019	-25.562915
	7.957276	-1.940001	-24.931234
	9.476093	-1.729681	-24.327418
	11.133644	-1.522343	-23.777274
	12.909939	-1.315456	-23.306910
	14.782962	-1.105585	-22.936862
	16.726629	-0.889706	-22.675756
	18.709333	-0.667126	-22.516221
	20.693737	-0.441068	-22.433940
	22.638510	-0.218818	-22.388774
	24.501780	-0.010460	-22.330360
	26.244924	0.173099	-22.210444
	27.835679	0.322501	-21.996841
	29.250491	0.432470	-21.681514
	30.475604	0.503620	-21.280254
	31.506450	0.542330	-20.827614
	32.345568	0.558528	-20.370822
	32.999526	0.562429	-19.960973
	33.476399	0.561955	-19.641885
	33.784942	0.562067	-19.441817
	33.934204	0.565287	-19.369795
	33.932811	0.571851	-19.416278
	33.788956	0.579120	-19.559069
	33.511125	0.581434	-19.771531
	33.108674	0.571713	-20.027962
	32.591853	0.544228	-20.305822
	31.971227	0.496523	-20.587558
	31.257029	0.429561	-20.862106
	30.459266	0.346754	-21.124732
	29.588329	0.252592	-21.375283
	28.655350	0.151224	-21.615359
	27.671896	0.045461	-21.845352
	26.649177	-0.063541	-22.062907
	25.597691	-0.176114	-22.263092
	24.527805	-0.293598	-22.439201
	23.450529	-0.417657	-22.583733
	22.377729	-0.549651	-22.690263
	21.321928	-0.690214	-22.755368
	20.296001	-0.838912	-22.779030
	19.312701	-0.993962	-22.763993
	18.384482	-1.152270	-22.714880
	17.523959	-1.309951	-22.637008
	16.744336	-1.463087	-22.535474
	16.059339	-1.608246	-22.415274
	15.483177	-1.742670	-22.282138
	15.030604	-1.864368	-22.143065
	14.716493	-1.972301	-22.005888
	14.554905	-2.066607	-21.878130
	14.558264	-2.148594	-21.766265
	14.736758	-2.220244	-21.675895
	15.097719	-2.283291	-21.611742
	15.644810	-2.338339	-21.576843
	16.377520	-2.384523	-21.571972
	17.292068	-2.419698	-21.596511
	18.383323	-2.440659	-21.649792
	19.645781	-2.443152	-21.731397
	21.072890	-2.421810	-21.841207
	22.655767	-2.370249	-21.979243
	24.382513	-2.281692	-22.144141
	26.238356	-2.150318	-22.331916
	28.205989	-1.972721	-22.536867
	30.265849	-1.748709	-22.753209
	32.396680	-1.481487	-22.975323
